word	collection	value
coast	country	133/41433
coast	europe	8208/53130550
coast	africa	2153/8599577
coast	milton	51/332927
coast	shakespeare	29/686328
coast	corpus	18347/86396910
portugals	country	97/41433
portugals	europe	934/53130550
portugals	africa	932/8599577
portugals	milton	1/332927
portugals	shakespeare	0
portugals	corpus	4675/86396910
goa	country	87/41433
goa	europe	1790/53130550
goa	africa	303/8599577
goa	milton	0
goa	shakespeare	0
goa	corpus	4087/86396910
sea	country	135/41433
sea	europe	55791/53130550
sea	africa	11679/8599577
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
cape	country	102/41433
cape	europe	2670/53130550
cape	africa	1379/8599577
cape	milton	8/332927
cape	shakespeare	8/686328
cape	corpus	8390/86396910
quiloa	country	45/41433
quiloa	europe	102/53130550
quiloa	africa	117/8599577
quiloa	milton	1/332927
quiloa	shakespeare	0
quiloa	corpus	298/86396910
cafer	country	21/41433
cafer	europe	23/53130550
cafer	africa	23/8599577
cafer	milton	0
cafer	shakespeare	0
cafer	corpus	50/86396910
ships	country	96/41433
ships	europe	20886/53130550
ships	africa	1742/8599577
ships	milton	141/332927
ships	shakespeare	33/686328
ships	corpus	33431/86396910
island	country	104/41433
island	europe	10806/53130550
island	africa	2029/8599577
island	milton	23/332927
island	shakespeare	24/686328
island	corpus	19906/86396910
portugal	country	69/41433
portugal	europe	7457/53130550
portugal	africa	794/8599577
portugal	milton	26/332927
portugal	shakespeare	0
portugal	corpus	10491/86396910
