word	collection	value
montezuma	country	16/1743
montezuma	europe	49/53130550
montezuma	asia	105/20757659
montezuma	milton	0
montezuma	shakespeare	0
montezuma	corpus	449/86396910
mexico	country	16/1743
mexico	europe	1020/53130550
mexico	asia	1396/20757659
mexico	milton	1/332927
mexico	shakespeare	6/686328
mexico	corpus	4756/86396910
city	country	18/1743
city	europe	53215/53130550
city	asia	17037/20757659
city	milton	206/332927
city	shakespeare	52/686328
city	corpus	80122/86396910
quahutimoc	country	4/1743
quahutimoc	europe	4/53130550
quahutimoc	asia	18/20757659
quahutimoc	milton	0
quahutimoc	shakespeare	0
quahutimoc	corpus	55/86396910
cortez	country	7/1743
cortez	europe	173/53130550
cortez	asia	216/20757659
cortez	milton	0
cortez	shakespeare	0
cortez	corpus	771/86396910
water	country	16/1743
water	europe	16362/53130550
water	asia	15761/20757659
water	milton	38/332927
water	shakespeare	185/686328
water	corpus	42954/86396910
house	country	13/1743
house	europe	38803/53130550
house	asia	21763/20757659
house	milton	175/332927
house	shakespeare	588/686328
house	corpus	68034/86396910
houses	country	13/1743
houses	europe	14771/53130550
houses	asia	6227/20757659
houses	milton	39/332927
houses	shakespeare	38/686328
houses	corpus	24860/86396910
izchoalt	country	3/1743
izchoalt	europe	3/53130550
izchoalt	asia	11/20757659
izchoalt	milton	0
izchoalt	shakespeare	0
izchoalt	corpus	27/86396910
stone	country	10/1743
stone	europe	6110/53130550
stone	asia	5833/20757659
stone	milton	41/332927
stone	shakespeare	82/686328
stone	corpus	15112/86396910
