word	collection	value
prince	country	2502/881735
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
england	country	2389/881735
england	europe	79137/53130550
england	asia	7935/20757659
england	milton	268/332927
england	shakespeare	262/686328
england	corpus	92639/86396910
duke	country	2125/881735
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
states	country	1787/881735
states	europe	22032/53130550
states	asia	1965/20757659
states	milton	43/332927
states	shakespeare	23/686328
states	corpus	24815/86396910
france	country	1968/881735
france	europe	63151/53130550
france	asia	3844/20757659
france	milton	83/332927
france	shakespeare	360/686328
france	corpus	69941/86396910
french	country	1732/881735
french	europe	71090/53130550
french	asia	3610/20757659
french	milton	52/332927
french	shakespeare	170/686328
french	corpus	77857/86396910
peace	country	1565/881735
peace	europe	61753/53130550
peace	asia	11865/20757659
peace	milton	321/332927
peace	shakespeare	652/686328
peace	corpus	78960/86396910
bee	country	1395/881735
bee	europe	35771/53130550
bee	asia	18518/20757659
bee	milton	17/332927
bee	shakespeare	437/686328
bee	corpus	65595/86396910
religion	country	1417/881735
religion	europe	49432/53130550
religion	asia	11350/20757659
religion	milton	191/332927
religion	shakespeare	18/686328
religion	corpus	67835/86396910
estates	country	1086/881735
estates	europe	14012/53130550
estates	asia	1398/20757659
estates	milton	21/332927
estates	shakespeare	10/686328
estates	corpus	16432/86396910
