word	collection	value
guatemala	country	99/58985
guatemala	north_america	442/2762132
guatemala	europe	186/53130550
guatemala	milton	0
guatemala	shakespeare	0
guatemala	corpus	965/86396910
chap	country	210/58985
chap	north_america	4499/2762132
chap	europe	20161/53130550
chap	milton	42/332927
chap	shakespeare	0
chap	corpus	51940/86396910
sea	country	269/58985
sea	north_america	7508/2762132
sea	europe	55791/53130550
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
indians	country	181/58985
indians	north_america	3886/2762132
indians	europe	3583/53130550
indians	milton	2/332927
indians	shakespeare	0
indians	corpus	11134/86396910
spaniards	country	186/58985
spaniards	north_america	5023/2762132
spaniards	europe	21668/53130550
spaniards	milton	10/332927
spaniards	shakespeare	2/686328
spaniards	corpus	34170/86396910
leagues	country	168/58985
leagues	north_america	3471/2762132
leagues	europe	6878/53130550
leagues	milton	19/332927
leagues	shakespeare	14/686328
leagues	corpus	16989/86396910
panama	country	90/58985
panama	north_america	466/2762132
panama	europe	258/53130550
panama	milton	0
panama	shakespeare	0
panama	corpus	1550/86396910
city	country	150/58985
city	north_america	2550/2762132
city	europe	53215/53130550
city	milton	206/332927
city	shakespeare	52/686328
city	corpus	80122/86396910
mexico	country	124/58985
mexico	north_america	1401/2762132
mexico	europe	1020/53130550
mexico	milton	1/332927
mexico	shakespeare	6/686328
mexico	corpus	4756/86396910
land	country	152/58985
land	north_america	4743/2762132
land	europe	31814/53130550
land	milton	218/332927
land	shakespeare	260/686328
land	corpus	75858/86396910
