word	collection	value
polexander	country	301/322667
polexander	europe	634/53130550
polexander	africa	1644/8599577
polexander	milton	0
polexander	shakespeare	0
polexander	corpus	2662/86396910
vertues	country	543/322667
vertues	europe	6349/53130550
vertues	africa	1279/8599577
vertues	milton	39/332927
vertues	shakespeare	77/686328
vertues	corpus	13028/86396910
chap	country	580/322667
chap	europe	20161/53130550
chap	africa	7100/8599577
chap	milton	42/332927
chap	shakespeare	0
chap	corpus	51940/86396910
names	country	632/322667
names	europe	12394/53130550
names	africa	3146/8599577
names	milton	73/332927
names	shakespeare	75/686328
names	corpus	25611/86396910
description	country	591/322667
description	europe	6329/53130550
description	africa	1724/8599577
description	milton	7/332927
description	shakespeare	22/686328
description	corpus	15608/86396910
antonius	country	344/322667
antonius	europe	3188/53130550
antonius	africa	793/8599577
antonius	milton	3/332927
antonius	shakespeare	0
antonius	corpus	5123/86396910
temperature	country	415/322667
temperature	europe	2442/53130550
temperature	africa	691/8599577
temperature	milton	1/332927
temperature	shakespeare	0
temperature	corpus	6644/86396910
seuerus	country	257/322667
seuerus	europe	554/53130550
seuerus	africa	319/8599577
seuerus	milton	0
seuerus	shakespeare	0
seuerus	corpus	1050/86396910
sea	country	603/322667
sea	europe	55791/53130550
sea	africa	11679/8599577
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
god	country	548/322667
god	europe	70256/53130550
god	africa	52719/8599577
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
