word	collection	value
wauburne	country	4/611
wauburne	europe	0/53130550
wauburne	africa	8/8599577
wauburne	milton	0
wauburne	shakespeare	0
wauburne	corpus	8/86396910
bronholme	country	2/611
bronholme	europe	0/53130550
bronholme	africa	4/8599577
bronholme	milton	0
bronholme	shakespeare	0
bronholme	corpus	4/86396910
clipsby	country	2/611
clipsby	europe	0/53130550
clipsby	africa	4/8599577
clipsby	milton	0
clipsby	shakespeare	0
clipsby	corpus	4/86396910
gimmingham	country	2/611
gimmingham	europe	0/53130550
gimmingham	africa	4/8599577
gimmingham	milton	0
gimmingham	shakespeare	0
gimmingham	corpus	4/86396910
ailesham	country	2/611
ailesham	europe	0/53130550
ailesham	africa	4/8599577
ailesham	milton	0
ailesham	shakespeare	0
ailesham	corpus	4/86396910
thyrn	country	2/611
thyrn	europe	1/53130550
thyrn	africa	4/8599577
thyrn	milton	0
thyrn	shakespeare	0
thyrn	corpus	5/86396910
ludham	country	2/611
ludham	europe	0/53130550
ludham	africa	5/8599577
ludham	milton	0
ludham	shakespeare	0
ludham	corpus	5/86396910
yare	country	4/611
yare	europe	30/53130550
yare	africa	8/8599577
yare	milton	0
yare	shakespeare	9/686328
yare	corpus	52/86396910
baconthorp	country	2/611
baconthorp	europe	1/53130550
baconthorp	africa	5/8599577
baconthorp	milton	0
baconthorp	shakespeare	0
baconthorp	corpus	6/86396910
blickling	country	2/611
blickling	europe	2/53130550
blickling	africa	4/8599577
blickling	milton	0
blickling	shakespeare	0
blickling	corpus	6/86396910
