word	collection	value
england	country	1494/495539
england	europe	79137/53130550
england	asia	7935/20757659
england	milton	268/332927
england	shakespeare	262/686328
england	corpus	92639/86396910
sea	country	1559/495539
sea	europe	55791/53130550
sea	asia	23473/20757659
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
denmark	country	934/495539
denmark	europe	7245/53130550
denmark	asia	394/20757659
denmark	milton	10/332927
denmark	shakespeare	2/686328
denmark	corpus	7825/86396910
scotland	country	774/495539
scotland	europe	25886/53130550
scotland	asia	1233/20757659
scotland	milton	30/332927
scotland	shakespeare	31/686328
scotland	corpus	28031/86396910
duke	country	793/495539
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
kynge	country	521/495539
kynge	europe	3610/53130550
kynge	asia	2483/20757659
kynge	milton	0
kynge	shakespeare	0
kynge	corpus	6750/86396910
english	country	732/495539
english	europe	46830/53130550
english	asia	8023/20757659
english	milton	260/332927
english	shakespeare	162/686328
english	corpus	59959/86396910
kings	country	815/495539
kings	europe	75604/53130550
kings	asia	22676/20757659
kings	milton	541/332927
kings	shakespeare	298/686328
kings	corpus	108954/86396910
denmarke	country	495/495539
denmarke	europe	2648/53130550
denmarke	asia	304/20757659
denmarke	milton	16/332927
denmarke	shakespeare	19/686328
denmarke	corpus	3068/86396910
kyng	country	441/495539
kyng	europe	7428/53130550
kyng	asia	1664/20757659
kyng	milton	0
kyng	shakespeare	0
kyng	corpus	10065/86396910
