word	collection	value
clement	country	20/2549
clement	europe	3733/53130550
clement	asia	310/20757659
clement	milton	4/332927
clement	shakespeare	3/686328
clement	corpus	4236/86396910
merbat	country	4/2549
merbat	europe	0/53130550
merbat	asia	4/20757659
merbat	milton	0
merbat	shakespeare	0
merbat	corpus	4/86396910
iacobum	country	6/2549
iacobum	europe	3/53130550
iacobum	asia	14/20757659
iacobum	milton	0
iacobum	shakespeare	0
iacobum	corpus	18/86396910
epistle	country	17/2549
epistle	europe	3560/53130550
epistle	asia	2020/20757659
epistle	milton	23/332927
epistle	shakespeare	5/686328
epistle	corpus	6544/86396910
iames	country	19/2549
iames	europe	6763/53130550
iames	asia	1333/20757659
iames	milton	4/332927
iames	shakespeare	8/686328
iames	corpus	8996/86396910
iamama	country	4/2549
iamama	europe	0/53130550
iamama	asia	8/20757659
iamama	milton	0
iamama	shakespeare	0
iamama	corpus	8/86396910
hadhramut	country	4/2549
hadhramut	europe	0/53130550
hadhramut	asia	7/20757659
hadhramut	milton	0
hadhramut	shakespeare	0
hadhramut	corpus	7/86396910
turrian	country	5/2549
turrian	europe	14/53130550
turrian	asia	9/20757659
turrian	milton	0
turrian	shakespeare	0
turrian	corpus	25/86396910
sohar	country	5/2549
sohar	europe	7/53130550
sohar	asia	22/20757659
sohar	milton	0
sohar	shakespeare	0
sohar	corpus	31/86396910
decretall	country	6/2549
decretall	europe	58/53130550
decretall	asia	10/20757659
decretall	milton	0
decretall	shakespeare	0
decretall	corpus	73/86396910
