word	collection	value
god	country	2301/582524
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
chap	country	1093/582524
chap	europe	20161/53130550
chap	asia	17801/20757659
chap	milton	42/332927
chap	shakespeare	0
chap	corpus	51940/86396910
church	country	1151/582524
church	europe	69388/53130550
church	asia	29208/20757659
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	111163/86396910
bishop	country	1023/582524
bishop	europe	37406/53130550
bishop	asia	5629/20757659
bishop	milton	80/332927
bishop	shakespeare	27/686328
bishop	corpus	47029/86396910
christ	country	1010/582524
christ	europe	22912/53130550
christ	asia	40222/20757659
christ	milton	85/332927
christ	shakespeare	8/686328
christ	corpus	79618/86396910
holy	country	1000/582524
holy	europe	22563/53130550
holy	asia	19292/20757659
holy	milton	112/332927
holy	shakespeare	226/686328
holy	corpus	49741/86396910
eusebius	country	599/582524
eusebius	europe	1532/53130550
eusebius	asia	1989/20757659
eusebius	milton	3/332927
eusebius	shakespeare	0
eusebius	corpus	4734/86396910
city	country	1001/582524
city	europe	53215/53130550
city	asia	17037/20757659
city	milton	206/332927
city	shakespeare	52/686328
city	corpus	80122/86396910
vales	country	437/582524
vales	europe	723/53130550
vales	asia	1120/20757659
vales	milton	6/332927
vales	shakespeare	1/686328
vales	corpus	2652/86396910
christians	country	852/582524
christians	europe	18752/53130550
christians	asia	9932/20757659
christians	milton	54/332927
christians	shakespeare	17/686328
christians	corpus	34293/86396910
