word	collection	value
sea	country	1027/183963
sea	north_america	7508/2762132
sea	europe	55791/53130550
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
spaniards	country	634/183963
spaniards	north_america	5023/2762132
spaniards	europe	21668/53130550
spaniards	milton	10/332927
spaniards	shakespeare	2/686328
spaniards	corpus	34170/86396910
leagues	country	530/183963
leagues	north_america	3471/2762132
leagues	europe	6878/53130550
leagues	milton	19/332927
leagues	shakespeare	14/686328
leagues	corpus	16989/86396910
peru	country	445/183963
peru	north_america	2113/2762132
peru	europe	1225/53130550
peru	milton	1/332927
peru	shakespeare	0
peru	corpus	5472/86396910
land	country	521/183963
land	north_america	4743/2762132
land	europe	31814/53130550
land	milton	218/332927
land	shakespeare	260/686328
land	corpus	75858/86396910
arro	country	161/183963
arro	north_america	240/2762132
arro	europe	274/53130550
arro	milton	0
arro	shakespeare	0
arro	corpus	992/86396910
dios	country	283/183963
dios	north_america	527/2762132
dios	europe	184/53130550
dios	milton	0
dios	shakespeare	0
dios	corpus	1078/86396910
south	country	480/183963
south	north_america	3541/2762132
south	europe	10481/53130550
south	milton	57/332927
south	shakespeare	33/686328
south	corpus	24079/86396910
ships	country	436/183963
ships	north_america	2648/2762132
ships	europe	20886/53130550
ships	milton	141/332927
ships	shakespeare	33/686328
ships	corpus	33431/86396910
nombre	country	269/183963
nombre	north_america	453/2762132
nombre	europe	554/53130550
nombre	milton	0
nombre	shakespeare	0
nombre	corpus	1614/86396910
