word	collection	value
plata	country	45/10066
plata	south_america	216/1144424
plata	europe	96/53130550
plata	milton	0
plata	shakespeare	0
plata	corpus	628/86396910
buenos	country	23/10066
buenos	south_america	80/1144424
buenos	europe	58/53130550
buenos	milton	0
buenos	shakespeare	0
buenos	corpus	175/86396910
river	country	55/10066
river	south_america	1063/1144424
river	europe	19296/53130550
river	milton	107/332927
river	shakespeare	4/686328
river	corpus	32898/86396910
parana	country	14/10066
parana	south_america	31/1144424
parana	europe	8/53130550
parana	milton	0
parana	shakespeare	0
parana	corpus	63/86396910
sect	country	35/10066
sect	south_america	143/1144424
sect	europe	4589/53130550
sect	milton	8/332927
sect	shakespeare	7/686328
sect	corpus	9263/86396910
ayres	country	23/10066
ayres	south_america	78/1144424
ayres	europe	95/53130550
ayres	milton	1/332927
ayres	shakespeare	4/686328
ayres	corpus	258/86396910
peru	country	36/10066
peru	south_america	268/1144424
peru	europe	1225/53130550
peru	milton	1/332927
peru	shakespeare	0
peru	corpus	5472/86396910
brasil	country	29/10066
brasil	south_america	190/1144424
brasil	europe	402/53130550
brasil	milton	0
brasil	shakespeare	0
brasil	corpus	1281/86396910
spaniards	country	37/10066
spaniards	south_america	2015/1144424
spaniards	europe	21668/53130550
spaniards	milton	10/332927
spaniards	shakespeare	2/686328
spaniards	corpus	34170/86396910
rio	country	23/10066
rio	south_america	204/1144424
rio	europe	232/53130550
rio	milton	1/332927
rio	shakespeare	0
rio	corpus	1199/86396910
