word	collection	value
indians	country	1739/974727
indians	south_america	1952/1144424
indians	europe	3583/53130550
indians	milton	2/332927
indians	shakespeare	0
indians	corpus	11134/86396910
spaniards	country	1758/974727
spaniards	south_america	2015/1144424
spaniards	europe	21668/53130550
spaniards	milton	10/332927
spaniards	shakespeare	2/686328
spaniards	corpus	34170/86396910
sea	country	2124/974727
sea	south_america	2475/1144424
sea	europe	55791/53130550
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
chap	country	1514/974727
chap	south_america	2375/1144424
chap	europe	20161/53130550
chap	milton	42/332927
chap	shakespeare	0
chap	corpus	51940/86396910
gold	country	1412/974727
gold	south_america	1552/1144424
gold	europe	13725/53130550
gold	milton	110/332927
gold	shakespeare	272/686328
gold	corpus	29954/86396910
world	country	1417/974727
world	south_america	1588/1144424
world	europe	43862/53130550
world	milton	285/332927
world	shakespeare	762/686328
world	corpus	88403/86396910
god	country	1412/974727
god	south_america	1504/1144424
god	europe	70256/53130550
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
land	country	1357/974727
land	south_america	1547/1144424
land	europe	31814/53130550
land	milton	218/332927
land	shakespeare	260/686328
land	corpus	75858/86396910
leagues	country	1145/974727
leagues	south_america	1390/1144424
leagues	europe	6878/53130550
leagues	milton	19/332927
leagues	shakespeare	14/686328
leagues	corpus	16989/86396910
reason	country	1303/974727
reason	south_america	1419/1144424
reason	europe	48472/53130550
reason	milton	274/332927
reason	shakespeare	370/686328
reason	corpus	77820/86396910
