word	collection	value
spaine	country	65/18871
spaine	europe	15060/53130550
spaine	asia	2765/20757659
spaine	milton	2/332927
spaine	shakespeare	13/686328
spaine	corpus	21598/86396910
china	country	55/18871
china	europe	2637/53130550
china	asia	2616/20757659
china	milton	1/332927
china	shakespeare	1/686328
china	corpus	6922/86396910
sea	country	73/18871
sea	europe	55791/53130550
sea	asia	23473/20757659
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
land	country	63/18871
land	europe	31814/53130550
land	asia	26046/20757659
land	milton	218/332927
land	shakespeare	260/686328
land	corpus	75858/86396910
indies	country	56/18871
indies	europe	6637/53130550
indies	asia	4568/20757659
indies	milton	5/332927
indies	shakespeare	8/686328
indies	corpus	15876/86396910
west	country	57/18871
west	europe	16584/53130550
west	asia	6878/20757659
west	milton	149/332927
west	shakespeare	42/686328
west	corpus	30551/86396910
east	country	60/18871
east	europe	18742/53130550
east	asia	12838/20757659
east	milton	126/332927
east	shakespeare	54/686328
east	corpus	38758/86396910
islands	country	49/18871
islands	europe	6193/53130550
islands	asia	2701/20757659
islands	milton	9/332927
islands	shakespeare	5/686328
islands	corpus	12587/86396910
peru	country	42/18871
peru	europe	1225/53130550
peru	asia	1550/20757659
peru	milton	1/332927
peru	shakespeare	0
peru	corpus	5472/86396910
ilands	country	41/18871
ilands	europe	2700/53130550
ilands	asia	2013/20757659
ilands	milton	2/332927
ilands	shakespeare	1/686328
ilands	corpus	6662/86396910
