word	collection	value
sea	country	4911/2666833
sea	europe	55791/53130550
sea	asia	23473/20757659
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
prince	country	3992/2666833
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
duke	country	3463/2666833
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
kings	country	3848/2666833
kings	europe	75604/53130550
kings	asia	22676/20757659
kings	milton	541/332927
kings	shakespeare	298/686328
kings	corpus	108954/86396910
spain	country	3429/2666833
spain	europe	31864/53130550
spain	asia	2932/20757659
spain	milton	24/332927
spain	shakespeare	1/686328
spain	corpus	39503/86396910
ships	country	3309/2666833
ships	europe	20886/53130550
ships	asia	7500/20757659
ships	milton	141/332927
ships	shakespeare	33/686328
ships	corpus	33431/86396910
england	country	3030/2666833
england	europe	79137/53130550
england	asia	7935/20757659
england	milton	268/332927
england	shakespeare	262/686328
england	corpus	92639/86396910
france	country	2828/2666833
france	europe	63151/53130550
france	asia	3844/20757659
france	milton	83/332927
france	shakespeare	360/686328
france	corpus	69941/86396910
long	country	3246/2666833
long	europe	61030/53130550
long	asia	20508/20757659
long	milton	489/332927
long	shakespeare	590/686328
long	corpus	95413/86396910
brought	country	2911/2666833
brought	europe	48655/53130550
brought	asia	20718/20757659
brought	milton	248/332927
brought	shakespeare	230/686328
brought	corpus	82898/86396910
