word	collection	value
pope	country	524/254699
pope	europe	70937/53130550
pope	asia	4533/20757659
pope	milton	75/332927
pope	shakespeare	19/686328
pope	corpus	78256/86396910
rome	country	421/254699
rome	europe	59689/53130550
rome	asia	8960/20757659
rome	milton	117/332927
rome	shakespeare	332/686328
rome	corpus	74847/86396910
god	country	400/254699
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
baiazithe	country	79/254699
baiazithe	europe	211/53130550
baiazithe	asia	0/20757659
baiazithe	milton	0
baiazithe	shakespeare	0
baiazithe	corpus	211/86396910
duke	country	324/254699
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
power	country	377/254699
power	europe	56626/53130550
power	asia	20277/20757659
power	milton	527/332927
power	shakespeare	382/686328
power	corpus	87450/86396910
valentynois	country	64/254699
valentynois	europe	120/53130550
valentynois	asia	0/20757659
valentynois	milton	0
valentynois	shakespeare	0
valentynois	corpus	120/86396910
prince	country	295/254699
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
turks	country	243/254699
turks	europe	18942/53130550
turks	asia	2887/20757659
turks	milton	9/332927
turks	shakespeare	1/686328
turks	corpus	23458/86396910
hauing	country	240/254699
hauing	europe	23526/53130550
hauing	asia	7651/20757659
hauing	milton	0
hauing	shakespeare	181/686328
hauing	corpus	35790/86396910
