word	collection	value
emperour	country	1295/673678
emperour	europe	50263/53130550
emperour	asia	7585/20757659
emperour	milton	126/332927
emperour	shakespeare	58/686328
emperour	corpus	61710/86396910
poland	country	923/673678
poland	europe	8769/53130550
poland	asia	1335/20757659
poland	milton	10/332927
poland	shakespeare	3/686328
poland	corpus	10342/86396910
duke	country	1064/673678
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
church	country	1115/673678
church	europe	69388/53130550
church	asia	29208/20757659
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	111163/86396910
sea	country	1223/673678
sea	europe	55791/53130550
sea	asia	23473/20757659
sea	milton	240/332927
sea	shakespeare	328/686328
sea	corpus	100931/86396910
prince	country	941/673678
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
tartars	country	720/673678
tartars	europe	3417/53130550
tartars	asia	3020/20757659
tartars	milton	11/332927
tartars	shakespeare	6/686328
tartars	corpus	6890/86396910
england	country	815/673678
england	europe	79137/53130550
england	asia	7935/20757659
england	milton	268/332927
england	shakespeare	262/686328
england	corpus	92639/86396910
lord	country	803/673678
lord	europe	59253/53130550
lord	asia	62439/20757659
lord	milton	226/332927
lord	shakespeare	3231/686328
lord	corpus	141816/86396910
god	country	820/673678
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
