word	collection	value
gambia	country	10/1862
gambia	europe	4/53130550
gambia	africa	21/8599577
gambia	milton	0
gambia	shakespeare	0
gambia	corpus	28/86396910
geloffes	country	4/1862
geloffes	europe	0/53130550
geloffes	africa	6/8599577
geloffes	milton	0
geloffes	shakespeare	0
geloffes	corpus	6/86396910
river	country	25/1862
river	europe	19296/53130550
river	africa	3187/8599577
river	milton	107/332927
river	shakespeare	4/686328
river	corpus	32898/86396910
lawtrick	country	3/1862
lawtrick	europe	11/53130550
lawtrick	africa	3/8599577
lawtrick	milton	0
lawtrick	shakespeare	0
lawtrick	corpus	14/86396910
goree	country	3/1862
goree	europe	3/53130550
goree	africa	3/8599577
goree	milton	0
goree	shakespeare	0
goree	corpus	6/86396910
leagues	country	13/1862
leagues	europe	6878/53130550
leagues	africa	938/8599577
leagues	milton	19/332927
leagues	shakespeare	14/686328
leagues	corpus	16989/86396910
cheyratick	country	2/1862
cheyratick	europe	0/53130550
cheyratick	africa	2/8599577
cheyratick	milton	0
cheyratick	shakespeare	0
cheyratick	corpus	2/86396910
boulam	country	2/1862
boulam	europe	0/53130550
boulam	africa	2/8599577
boulam	milton	0
boulam	shakespeare	0
boulam	corpus	2/86396910
brac	country	3/1862
brac	europe	6/53130550
brac	africa	3/8599577
brac	milton	0
brac	shakespeare	1/686328
brac	corpus	10/86396910
bonnony	country	2/1862
bonnony	europe	2/53130550
bonnony	africa	2/8599577
bonnony	milton	0
bonnony	shakespeare	0
bonnony	corpus	4/86396910
