word	collection	value
france	country	13881/5557410
france	europe	63151/53130550
france	asia	3844/20757659
france	milton	83/332927
france	shakespeare	360/686328
france	corpus	69941/86396910
duke	country	11445/5557410
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
prince	country	11194/5557410
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
england	country	9810/5557410
england	europe	79137/53130550
england	asia	7935/20757659
england	milton	268/332927
england	shakespeare	262/686328
england	corpus	92639/86396910
pope	country	7637/5557410
pope	europe	70937/53130550
pope	asia	4533/20757659
pope	milton	75/332927
pope	shakespeare	19/686328
pope	corpus	78256/86396910
war	country	8700/5557410
war	europe	58509/53130550
war	asia	7235/20757659
war	milton	202/332927
war	shakespeare	24/686328
war	corpus	70427/86396910
french	country	8856/5557410
french	europe	71090/53130550
french	asia	3610/20757659
french	milton	52/332927
french	shakespeare	170/686328
french	corpus	77857/86396910
kings	country	8783/5557410
kings	europe	75604/53130550
kings	asia	22676/20757659
kings	milton	541/332927
kings	shakespeare	298/686328
kings	corpus	108954/86396910
peace	country	7348/5557410
peace	europe	61753/53130550
peace	asia	11865/20757659
peace	milton	321/332927
peace	shakespeare	652/686328
peace	corpus	78960/86396910
princes	country	7242/5557410
princes	europe	63268/53130550
princes	asia	9855/20757659
princes	milton	161/332927
princes	shakespeare	188/686328
princes	corpus	78390/86396910
