word	collection	value
ikouteca	country	1/55
ikouteca	south_america	1/1144424
ikouteca	europe	0/53130550
ikouteca	milton	0
ikouteca	shakespeare	0
ikouteca	corpus	1/86396910
sarname	country	1/55
sarname	south_america	1/1144424
sarname	europe	2/53130550
sarname	milton	0
sarname	shakespeare	0
sarname	corpus	3/86396910
courbo	country	1/55
courbo	south_america	1/1144424
courbo	europe	0/53130550
courbo	milton	0
courbo	shakespeare	0
courbo	corpus	3/86396910
marauvini	country	1/55
marauvini	south_america	1/1144424
marauvini	europe	0/53130550
marauvini	milton	0
marauvini	shakespeare	0
marauvini	corpus	3/86396910
galibes	country	1/55
galibes	south_america	3/1144424
galibes	europe	0/53130550
galibes	milton	0
galibes	shakespeare	0
galibes	corpus	8/86396910
river	country	5/55
river	south_america	1063/1144424
river	europe	19296/53130550
river	milton	107/332927
river	shakespeare	4/686328
river	corpus	32898/86396910
cayenne	country	1/55
cayenne	south_america	8/1144424
cayenne	europe	4/53130550
cayenne	milton	0
cayenne	shakespeare	0
cayenne	corpus	43/86396910
caribbians	country	1/55
caribbians	south_america	46/1144424
caribbians	europe	9/53130550
caribbians	milton	0
caribbians	shakespeare	0
caribbians	corpus	141/86396910
orenoque	country	1/55
orenoque	south_america	84/1144424
orenoque	europe	27/53130550
orenoque	milton	0
orenoque	shakespeare	0
orenoque	corpus	210/86396910
andalusia	country	1/55
andalusia	south_america	14/1144424
andalusia	europe	162/53130550
andalusia	milton	1/332927
andalusia	shakespeare	0
andalusia	corpus	248/86396910
