word	collection	value
denmark	country	1205/650972
denmark	europe	7245/53130550
denmark	asia	394/20757659
denmark	milton	10/332927
denmark	shakespeare	2/686328
denmark	corpus	7825/86396910
france	country	1470/650972
france	europe	63151/53130550
france	asia	3844/20757659
france	milton	83/332927
france	shakespeare	360/686328
france	corpus	69941/86396910
duke	country	1311/650972
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
england	country	1307/650972
england	europe	79137/53130550
england	asia	7935/20757659
england	milton	268/332927
england	shakespeare	262/686328
england	corpus	92639/86396910
kings	country	1468/650972
kings	europe	75604/53130550
kings	asia	22676/20757659
kings	milton	541/332927
kings	shakespeare	298/686328
kings	corpus	108954/86396910
prince	country	1197/650972
prince	europe	82012/53130550
prince	asia	11570/20757659
prince	milton	235/332927
prince	shakespeare	499/686328
prince	corpus	101455/86396910
peace	country	1107/650972
peace	europe	61753/53130550
peace	asia	11865/20757659
peace	milton	321/332927
peace	shakespeare	652/686328
peace	corpus	78960/86396910
majesty	country	1038/650972
majesty	europe	28197/53130550
majesty	asia	2505/20757659
majesty	milton	309/332927
majesty	shakespeare	0
majesty	corpus	32706/86396910
princes	country	1065/650972
princes	europe	63268/53130550
princes	asia	9855/20757659
princes	milton	161/332927
princes	shakespeare	188/686328
princes	corpus	78390/86396910
germany	country	865/650972
germany	europe	24706/53130550
germany	asia	1386/20757659
germany	milton	14/332927
germany	shakespeare	3/686328
germany	corpus	26953/86396910
