word	collection	value
france	country	550/249886
france	europe	63151/53130550
france	asia	3844/20757659
france	milton	83/332927
france	shakespeare	360/686328
france	corpus	69941/86396910
england	country	536/249886
england	europe	79137/53130550
england	asia	7935/20757659
england	milton	268/332927
england	shakespeare	262/686328
england	corpus	92639/86396910
cantons	country	308/249886
cantons	europe	2003/53130550
cantons	asia	44/20757659
cantons	milton	2/332927
cantons	shakespeare	1/686328
cantons	corpus	2084/86396910
church	country	492/249886
church	europe	69388/53130550
church	asia	29208/20757659
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	111163/86396910
germany	country	427/249886
germany	europe	24706/53130550
germany	asia	1386/20757659
germany	milton	14/332927
germany	shakespeare	3/686328
germany	corpus	26953/86396910
duke	country	406/249886
duke	europe	97691/53130550
duke	asia	2931/20757659
duke	milton	147/332927
duke	shakespeare	554/686328
duke	corpus	102038/86396910
religion	country	456/249886
religion	europe	49432/53130550
religion	asia	11350/20757659
religion	milton	191/332927
religion	shakespeare	18/686328
religion	corpus	67835/86396910
common	country	419/249886
common	europe	38431/53130550
common	asia	11079/20757659
common	milton	174/332927
common	shakespeare	211/686328
common	corpus	56137/86396910
god	country	464/249886
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
geneva	country	236/249886
geneva	europe	2186/53130550
geneva	asia	126/20757659
geneva	milton	6/332927
geneva	shakespeare	0
geneva	corpus	2389/86396910
