word	collection	value
maccoa	country	3/1238
maccoa	europe	0/53130550
maccoa	asia	10/20757659
maccoa	milton	0
maccoa	shakespeare	0
maccoa	corpus	10/86396910
schedel	country	4/1238
schedel	europe	39/53130550
schedel	asia	9/20757659
schedel	milton	0
schedel	shakespeare	0
schedel	corpus	50/86396910
canton	country	7/1238
canton	europe	654/53130550
canton	asia	435/20757659
canton	milton	2/332927
canton	shakespeare	0
canton	corpus	1131/86396910
maccow	country	2/1238
maccow	europe	0/53130550
maccow	asia	4/20757659
maccow	milton	0
maccow	shakespeare	0
maccow	corpus	4/86396910
fockin	country	2/1238
fockin	europe	0/53130550
fockin	asia	4/20757659
fockin	milton	0
fockin	shakespeare	0
fockin	corpus	4/86396910
fokien	country	3/1238
fokien	europe	7/53130550
fokien	asia	109/20757659
fokien	milton	0
fokien	shakespeare	0
fokien	corpus	117/86396910
tutang	country	2/1238
tutang	europe	2/53130550
tutang	asia	9/20757659
tutang	milton	0
tutang	shakespeare	0
tutang	corpus	11/86396910
emperor	country	8/1238
emperor	europe	32150/53130550
emperor	asia	3470/20757659
emperor	milton	68/332927
emperor	shakespeare	26/686328
emperor	corpus	37489/86396910
hollanders	country	7/1238
hollanders	europe	5015/53130550
hollanders	asia	1428/20757659
hollanders	milton	4/332927
hollanders	shakespeare	1/686328
hollanders	corpus	7012/86396910
presents	country	7/1238
presents	europe	3903/53130550
presents	asia	1401/20757659
presents	milton	15/332927
presents	shakespeare	15/686328
presents	corpus	6091/86396910
