word	collection	value
lamorabaquy	country	90/301203
lamorabaquy	europe	2/53130550
lamorabaquy	asia	90/20757659
lamorabaquy	milton	0
lamorabaquy	shakespeare	0
lamorabaquy	corpus	92/86396910
trade	country	420/301203
trade	europe	17333/53130550
trade	asia	6886/20757659
trade	milton	33/332927
trade	shakespeare	59/686328
trade	corpus	27407/86396910
god	country	447/301203
god	europe	70256/53130550
god	asia	144408/20757659
god	milton	1015/332927
god	shakespeare	933/686328
god	corpus	273914/86396910
long	country	449/301203
long	europe	61030/53130550
long	asia	20508/20757659
long	milton	489/332927
long	shakespeare	590/686328
long	corpus	95413/86396910
hym	country	249/301203
hym	europe	10685/53130550
hym	asia	5663/20757659
hym	milton	0
hym	shakespeare	1/686328
hym	corpus	18998/86396910
english	country	356/301203
english	europe	46830/53130550
english	asia	8023/20757659
english	milton	260/332927
english	shakespeare	162/686328
english	corpus	59959/86396910
england	country	334/301203
england	europe	79137/53130550
england	asia	7935/20757659
england	milton	268/332927
england	shakespeare	262/686328
england	corpus	92639/86396910
brought	country	348/301203
brought	europe	48655/53130550
brought	asia	20718/20757659
brought	milton	248/332927
brought	shakespeare	230/686328
brought	corpus	82898/86396910
kynge	country	203/301203
kynge	europe	3610/53130550
kynge	asia	2483/20757659
kynge	milton	0
kynge	shakespeare	0
kynge	corpus	6750/86396910
sir	country	282/301203
sir	europe	30539/53130550
sir	asia	3551/20757659
sir	milton	35/332927
sir	shakespeare	3014/686328
sir	corpus	36961/86396910
