word	collection	value
poland	country	11/844
poland	europe	8769/53130550
poland	asia	1335/20757659
poland	milton	10/332927
poland	shakespeare	3/686328
poland	corpus	10342/86396910
fautoratum	country	2/844
fautoratum	europe	2/53130550
fautoratum	asia	0/20757659
fautoratum	milton	0
fautoratum	shakespeare	0
fautoratum	corpus	2/86396910
praebebit	country	2/844
praebebit	europe	3/53130550
praebebit	asia	0/20757659
praebebit	milton	0
praebebit	shakespeare	0
praebebit	corpus	3/86396910
cossacks	country	6/844
cossacks	europe	513/53130550
cossacks	asia	126/20757659
cossacks	milton	2/332927
cossacks	shakespeare	0
cossacks	corpus	658/86396910
ratzieuskie	country	2/844
ratzieuskie	europe	4/53130550
ratzieuskie	asia	2/20757659
ratzieuskie	milton	0
ratzieuskie	shakespeare	0
ratzieuskie	corpus	6/86396910
kaloires	country	2/844
kaloires	europe	9/53130550
kaloires	asia	0/20757659
kaloires	milton	0
kaloires	shakespeare	0
kaloires	corpus	9/86396910
ambassador	country	6/844
ambassador	europe	8080/53130550
ambassador	asia	920/20757659
ambassador	milton	2/332927
ambassador	shakespeare	12/686328
ambassador	corpus	9338/86396910
universaliter	country	2/844
universaliter	europe	3/53130550
universaliter	asia	5/20757659
universaliter	milton	0
universaliter	shakespeare	0
universaliter	corpus	18/86396910
indirecte	country	2/844
indirecte	europe	10/53130550
indirecte	asia	0/20757659
indirecte	milton	0
indirecte	shakespeare	0
indirecte	corpus	10/86396910
protectionem	country	2/844
protectionem	europe	15/53130550
protectionem	asia	2/20757659
protectionem	milton	0
protectionem	shakespeare	0
protectionem	corpus	17/86396910
