word	collection	value
maracaibo	country	13/7502
maracaibo	south_america	14/1144424
maracaibo	europe	10/53130550
maracaibo	milton	0
maracaibo	shakespeare	0
maracaibo	corpus	45/86396910
leagues	country	36/7502
leagues	south_america	1390/1144424
leagues	europe	6878/53130550
leagues	milton	19/332927
leagues	shakespeare	14/686328
leagues	corpus	16989/86396910
cumana	country	15/7502
cumana	south_america	35/1144424
cumana	europe	58/53130550
cumana	milton	0
cumana	shakespeare	0
cumana	corpus	266/86396910
maracaybo	country	8/7502
maracaybo	south_america	9/1144424
maracaybo	europe	2/53130550
maracaybo	milton	0
maracaybo	shakespeare	0
maracaybo	corpus	17/86396910
lake	country	30/7502
lake	south_america	327/1144424
lake	europe	3432/53130550
lake	milton	31/332927
lake	shakespeare	8/686328
lake	corpus	7642/86396910
martinez	country	11/7502
martinez	south_america	26/1144424
martinez	europe	62/53130550
martinez	milton	0
martinez	shakespeare	0
martinez	corpus	120/86396910
riuer	country	27/7502
riuer	south_america	905/1144424
riuer	europe	8384/53130550
riuer	milton	0
riuer	shakespeare	23/686328
riuer	corpus	18919/86396910
east	country	35/7502
east	south_america	863/1144424
east	europe	18742/53130550
east	milton	126/332927
east	shakespeare	54/686328
east	corpus	38758/86396910
paria	country	16/7502
paria	south_america	103/1144424
paria	europe	85/53130550
paria	milton	1/332927
paria	shakespeare	0
paria	corpus	562/86396910
chap	country	25/7502
chap	south_america	2375/1144424
chap	europe	20161/53130550
chap	milton	42/332927
chap	shakespeare	0
chap	corpus	51940/86396910
