word	collection	value
yoman	country	12/2210
yoman	europe	9/53130550
yoman	asia	12/20757659
yoman	milton	0
yoman	shakespeare	0
yoman	corpus	21/86396910
gemen	country	6/2210
gemen	europe	13/53130550
gemen	asia	10/20757659
gemen	milton	0
gemen	shakespeare	0
gemen	corpus	23/86396910
yeomen	country	9/2210
yeomen	europe	196/53130550
yeomen	asia	24/20757659
yeomen	milton	0
yeomen	shakespeare	3/686328
yeomen	corpus	238/86396910
cap	country	17/2210
cap	europe	12256/53130550
cap	asia	7580/20757659
cap	milton	15/332927
cap	shakespeare	53/686328
cap	corpus	24380/86396910
legalem	country	3/2210
legalem	europe	1/53130550
legalem	asia	3/20757659
legalem	milton	0
legalem	shakespeare	0
legalem	corpus	4/86396910
gemein	country	3/2210
gemein	europe	2/53130550
gemein	asia	3/20757659
gemein	milton	0
gemein	shakespeare	0
gemein	corpus	5/86396910
jeman	country	2/2210
jeman	europe	0/53130550
jeman	asia	2/20757659
jeman	milton	0
jeman	shakespeare	0
jeman	corpus	2/86396910
yeoman	country	5/2210
yeoman	europe	140/53130550
yeoman	asia	45/20757659
yeoman	milton	1/332927
yeoman	shakespeare	11/686328
yeoman	corpus	195/86396910
anno	country	11/2210
anno	europe	13769/53130550
anno	asia	2233/20757659
anno	milton	26/332927
anno	shakespeare	1/686328
anno	corpus	17287/86396910
yee	country	8/2210
yee	europe	1439/53130550
yee	asia	3181/20757659
yee	milton	21/332927
yee	shakespeare	40/686328
yee	corpus	5759/86396910
