word	year	freq
scanderbeg	1500	0
scanderbeg	1550	0
scanderbeg	1600	0
scanderbeg	1650	1
scanderbeg	1700	0
scanderbeg	1750	0
sea	1500	9
sea	1550	113
sea	1600	38
sea	1650	11
sea	1700	0
sea	1750	0
pyctes	1500	6
pyctes	1550	0
pyctes	1600	0
pyctes	1650	0
pyctes	1700	0
pyctes	1750	0
pompey	1500	0
pompey	1550	1
pompey	1600	0
pompey	1650	0
pompey	1700	0
pompey	1750	0
venetians	1500	0
venetians	1550	0
venetians	1600	1
venetians	1650	0
venetians	1700	0
venetians	1750	0
selfe	1500	1
selfe	1550	247
selfe	1600	111
selfe	1650	2
selfe	1700	0
selfe	1750	0
army	1500	1
army	1550	55
army	1600	25
army	1650	8
army	1700	0
army	1750	0
rome	1500	0
rome	1550	0
rome	1600	0
rome	1650	0
rome	1700	0
rome	1750	0
