word	year	freq
world	1500	0
world	1550	57
world	1600	246
world	1650	299
world	1700	13
world	1750	0
god	1500	0
god	1550	7
god	1600	12
god	1650	13
god	1700	0
god	1750	0
sea	1500	0
sea	1550	202
sea	1600	216
sea	1650	67
sea	1700	0
sea	1750	0
chap	1500	0
chap	1550	0
chap	1600	1
chap	1650	1
chap	1700	0
chap	1750	0
parts	1500	0
parts	1550	80
parts	1600	565
parts	1650	957
parts	1700	19
parts	1750	0
land	1500	0
land	1550	147
land	1600	236
land	1650	132
land	1700	4
land	1750	0
spaniards	1500	0
spaniards	1550	1
spaniards	1600	0
spaniards	1650	2
spaniards	1700	0
spaniards	1750	0
english	1500	0
english	1550	4
english	1600	2
english	1650	1
english	1700	0
english	1750	0
earth	1500	0
earth	1550	95
earth	1600	115
earth	1650	83
earth	1700	1
earth	1750	0
