word	year	freq
vertues	1500	0
vertues	1550	4
vertues	1600	0
vertues	1650	0
vertues	1700	0
vertues	1750	0
description	1500	0
description	1550	0
description	1600	20
description	1650	0
description	1700	0
description	1750	0
temperature	1500	0
temperature	1550	0
temperature	1600	1
temperature	1650	0
temperature	1700	0
temperature	1750	0
names	1500	0
names	1550	0
names	1600	3
names	1650	1
names	1700	0
names	1750	0
leaued	1500	0
leaued	1550	0
leaued	1600	88
leaued	1650	0
leaued	1700	0
leaued	1750	0
wilde	1500	0
wilde	1550	0
wilde	1600	87
wilde	1650	2
wilde	1700	0
wilde	1750	0
flore	1500	0
flore	1550	0
flore	1600	78
flore	1650	2
flore	1700	0
flore	1750	0
