word	year	freq
prince	1500	0
prince	1550	90
prince	1600	125
prince	1650	13
prince	1700	0
prince	1750	0
church	1500	0
church	1550	46
church	1600	15
church	1650	2
church	1700	0
church	1750	0
rome	1500	0
rome	1550	2
rome	1600	0
rome	1650	0
rome	1700	0
rome	1750	0
god	1500	8
god	1550	29
god	1600	11
god	1650	6
god	1700	0
god	1750	0
city	1500	0
city	1550	219
city	1600	74
city	1650	13
city	1700	0
city	1750	0
emperour	1500	12
emperour	1550	13
emperour	1600	74
emperour	1650	0
emperour	1700	0
emperour	1750	0
army	1500	0
army	1550	267
army	1600	57
army	1650	64
army	1700	0
army	1750	0
thousand	1500	0
thousand	1550	525
thousand	1600	485
thousand	1650	830
thousand	1700	17
thousand	1750	0
death	1500	0
death	1550	263
death	1600	291
death	1650	475
death	1700	3
death	1750	0
