word	year	freq
duke	1500	0
duke	1550	35
duke	1600	264
duke	1650	8
duke	1700	0
duke	1750	0
emperour	1500	3
emperour	1550	7
emperour	1600	91
emperour	1650	1
emperour	1700	0
emperour	1750	0
prince	1500	0
prince	1550	27
prince	1600	147
prince	1650	9
prince	1700	0
prince	1750	0
princes	1500	0
princes	1550	23
princes	1600	174
princes	1650	6
princes	1700	1
princes	1750	0
house	1500	0
house	1550	78
house	1600	704
house	1650	400
house	1700	1
house	1750	0
pope	1500	0
pope	1550	15
pope	1600	40
pope	1650	1
pope	1700	0
pope	1750	0
french	1500	1
french	1550	15
french	1600	9
french	1650	1
french	1700	0
french	1750	0
peace	1500	0
peace	1550	50
peace	1600	418
peace	1650	453
peace	1700	1
peace	1750	0
emperor	1500	0
emperor	1550	3
emperor	1600	22
emperor	1650	1
emperor	1700	0
emperor	1750	0
