word	year	freq
cum	1500	0
cum	1550	0
cum	1600	68
cum	1650	88
cum	1700	0
cum	1750	0
qui	1500	0
qui	1550	0
qui	1600	60
qui	1650	86
qui	1700	0
qui	1750	0
sed	1500	0
sed	1550	0
sed	1600	13
sed	1650	82
sed	1700	0
sed	1750	0
est	1500	0
est	1550	0
est	1600	22
est	1650	28
est	1700	0
est	1750	0
collium	1500	0
collium	1550	0
collium	1600	0
collium	1650	26
collium	1700	0
collium	1750	0
sea	1500	0
sea	1550	0
sea	1600	4
sea	1650	5
sea	1700	0
sea	1750	0
french	1500	0
french	1550	1
french	1600	0
french	1650	0
french	1700	0
french	1750	0
