word	year	freq
emperour	1500	0
emperour	1550	0
emperour	1600	59
emperour	1650	0
emperour	1700	0
emperour	1750	0
empire	1500	0
empire	1550	0
empire	1600	23
empire	1650	1
empire	1700	0
empire	1750	0
turks	1500	0
turks	1550	0
turks	1600	0
turks	1650	0
turks	1700	0
turks	1750	0
emperor	1500	0
emperor	1550	0
emperor	1600	7
emperor	1650	0
emperor	1700	0
emperor	1750	0
pope	1500	0
pope	1550	5
pope	1600	3
pope	1650	0
pope	1700	0
pope	1750	0
son	1500	0
son	1550	1
son	1600	52
son	1650	157
son	1700	0
son	1750	0
church	1500	0
church	1550	1
church	1600	7
church	1650	0
church	1700	0
church	1750	0
