word	year	freq
riuer	1500	0
riuer	1550	107
riuer	1600	50
riuer	1650	0
riuer	1700	0
riuer	1750	0
leagues	1500	0
leagues	1550	107
leagues	1600	83
leagues	1650	9
leagues	1700	0
leagues	1750	0
sea	1500	0
sea	1550	70
sea	1600	11
sea	1650	3
sea	1700	0
sea	1750	0
chap	1500	0
chap	1550	0
chap	1600	0
chap	1650	1
chap	1700	0
chap	1750	0
land	1500	0
land	1550	60
land	1600	35
land	1650	8
land	1700	0
land	1750	0
sauages	1500	0
sauages	1550	0
sauages	1600	2
sauages	1650	0
sauages	1700	0
sauages	1750	0
north	1500	0
north	1550	13
north	1600	0
north	1650	2
north	1700	0
north	1750	0
