word	year	freq
church	1500	0
church	1550	4
church	1600	4
church	1650	1
church	1700	0
church	1750	0
bishop	1500	0
bishop	1550	5
bishop	1600	10
bishop	1650	0
bishop	1700	0
bishop	1750	0
god	1500	0
god	1550	2
god	1600	4
god	1650	0
god	1700	0
god	1750	0
london	1500	0
london	1550	0
london	1600	0
london	1650	0
london	1700	0
london	1750	0
mannor	1500	0
mannor	1550	1
mannor	1600	0
mannor	1650	0
mannor	1700	0
mannor	1750	0
christ	1500	0
christ	1550	0
christ	1600	0
christ	1650	0
christ	1700	0
christ	1750	0
