word	year	freq
thousand	1500	0
thousand	1550	320
thousand	1600	463
thousand	1650	996
thousand	1700	7
thousand	1750	0
world	1500	0
world	1550	56
world	1600	151
world	1650	246
world	1700	8
world	1750	0
sea	1500	0
sea	1550	188
sea	1600	154
sea	1650	37
sea	1700	0
sea	1750	0
city	1500	0
city	1550	54
city	1600	6
city	1650	9
city	1700	0
city	1750	0
prince	1500	0
prince	1550	15
prince	1600	20
prince	1650	2
prince	1700	0
prince	1750	0
god	1500	0
god	1550	2
god	1600	5
god	1650	4
god	1700	0
god	1750	0
long	1500	0
long	1550	249
long	1600	369
long	1650	955
long	1700	29
long	1750	0
