word	year	freq
theyr	1500	0
theyr	1550	615
theyr	1600	1
theyr	1650	0
theyr	1700	0
theyr	1750	0
whiche	1500	0
whiche	1550	579
whiche	1600	0
whiche	1650	0
whiche	1700	0
whiche	1750	0
sea	1500	0
sea	1550	257
sea	1600	43
sea	1650	3
sea	1700	0
sea	1750	0
ilande	1500	0
ilande	1550	13
ilande	1600	0
ilande	1650	0
ilande	1700	0
ilande	1750	0
hispaniola	1500	0
hispaniola	1550	5
hispaniola	1600	0
hispaniola	1650	0
hispaniola	1700	0
hispaniola	1750	0
leagues	1500	0
leagues	1550	146
leagues	1600	126
leagues	1650	50
leagues	1700	0
leagues	1750	0
spaniards	1500	0
spaniards	1550	2
spaniards	1600	0
spaniards	1650	0
spaniards	1700	0
spaniards	1750	0
owre	1500	0
owre	1550	205
owre	1600	0
owre	1650	0
owre	1700	0
owre	1750	0
land	1500	0
land	1550	125
land	1600	79
land	1650	13
land	1700	0
land	1750	0
