word	year	freq
god	1500	0
god	1550	10
god	1600	6
god	1650	5
god	1700	0
god	1750	0
church	1500	0
church	1550	26
church	1600	10
church	1650	6
church	1700	0
church	1750	0
sea	1500	3
sea	1550	54
sea	1600	110
sea	1650	47
sea	1700	0
sea	1750	0
city	1500	0
city	1550	28
city	1600	31
city	1650	28
city	1700	0
city	1750	0
bishop	1500	1
bishop	1550	52
bishop	1600	8
bishop	1650	3
bishop	1700	0
bishop	1750	0
death	1500	2
death	1550	95
death	1600	162
death	1650	267
death	1700	0
death	1750	0
prince	1500	0
prince	1550	20
prince	1600	31
prince	1650	3
prince	1700	0
prince	1750	0
long	1500	0
long	1550	126
long	1600	296
long	1650	703
long	1700	19
long	1750	0
