word	year	freq
duke	1500	183
duke	1550	81
duke	1600	114
duke	1650	3
duke	1700	0
duke	1750	0
england	1500	0
england	1550	0
england	1600	0
england	1650	0
england	1700	0
england	1750	0
kings	1500	2
kings	1550	96
kings	1600	197
kings	1650	35
kings	1700	0
kings	1750	0
prince	1500	24
prince	1550	50
prince	1600	70
prince	1650	5
prince	1700	0
prince	1750	0
france	1500	1
france	1550	0
france	1600	0
france	1650	0
france	1700	0
france	1750	0
kyng	1500	485
kyng	1550	170
kyng	1600	0
kyng	1650	0
kyng	1700	0
kyng	1750	0
hym	1500	656
hym	1550	313
hym	1600	0
hym	1650	0
hym	1700	0
hym	1750	0
danes	1500	2
danes	1550	0
danes	1600	0
danes	1650	0
danes	1700	0
danes	1750	0
princes	1500	5
princes	1550	41
princes	1600	85
princes	1650	3
princes	1700	0
princes	1750	0
god	1500	162
god	1550	23
god	1600	7
god	1650	4
god	1700	0
god	1750	0
