word	year	freq
god	1500	653
god	1550	103
god	1600	108
god	1650	53
god	1700	0
god	1750	0
lord	1500	83
lord	1550	37
lord	1600	30
lord	1650	8
lord	1700	0
lord	1750	0
moses	1500	1
moses	1550	1
moses	1600	0
moses	1650	1
moses	1700	0
moses	1750	0
christ	1500	21
christ	1550	6
christ	1600	3
christ	1650	0
christ	1700	0
christ	1750	0
thy	1500	806
thy	1550	1549
thy	1600	3230
thy	1650	3963
thy	1700	16
thy	1750	0
thou	1500	643
thou	1550	1476
thou	1600	2837
thou	1650	3676
thou	1700	19
thou	1750	0
israel	1500	0
israel	1550	0
israel	1600	0
israel	1650	0
israel	1700	0
israel	1750	0
gods	1500	33
gods	1550	146
gods	1600	190
gods	1650	134
gods	1700	0
gods	1750	0
land	1500	61
land	1550	755
land	1600	1809
land	1650	1265
land	1700	3
land	1750	0
world	1500	19
world	1550	398
world	1600	1019
world	1650	978
world	1700	4
world	1750	0
