word	year	freq
church	1500	1
church	1550	356
church	1600	116
church	1650	14
church	1700	0
church	1750	0
parliament	1500	1
parliament	1550	36
parliament	1600	20
parliament	1650	17
parliament	1700	0
parliament	1750	0
lord	1500	4
lord	1550	2235
lord	1600	4
lord	1650	3
lord	1700	0
lord	1750	0
english	1500	0
english	1550	13
english	1600	4
english	1650	1
english	1700	0
english	1750	0
god	1500	4
god	1550	55
god	1600	5
god	1650	6
god	1700	0
god	1750	0
ireland	1500	0
ireland	1550	0
ireland	1600	0
ireland	1650	1
ireland	1700	0
ireland	1750	0
france	1500	0
france	1550	3
france	1600	0
france	1650	1
france	1700	0
france	1750	0
scotland	1500	0
scotland	1550	1
scotland	1600	0
scotland	1650	0
scotland	1700	0
scotland	1750	0
duke	1500	0
duke	1550	1512
duke	1600	46
duke	1650	0
duke	1700	0
duke	1750	0
kings	1500	0
kings	1550	1337
kings	1600	208
kings	1650	39
kings	1700	0
kings	1750	0
