word	year	freq
est	1500	0
est	1550	0
est	1600	15
est	1650	0
est	1700	0
est	1750	0
mare	1500	0
mare	1550	0
mare	1600	3
mare	1650	0
mare	1700	0
mare	1750	0
vltra	1500	0
vltra	1550	0
vltra	1600	7
vltra	1650	0
vltra	1700	0
vltra	1750	0
quae	1500	0
quae	1550	0
quae	1600	9
quae	1650	0
quae	1700	0
quae	1750	0
extenditur	1500	0
extenditur	1550	0
extenditur	1600	4
extenditur	1650	0
extenditur	1700	0
extenditur	1750	0
deinde	1500	0
deinde	1550	0
deinde	1600	4
deinde	1650	0
deinde	1700	0
deinde	1750	0
magna	1500	0
magna	1550	0
magna	1600	5
magna	1650	0
magna	1700	0
magna	1750	0
