word	year	freq
god	1500	10
god	1550	30
god	1600	35
god	1650	8
god	1700	0
god	1750	0
church	1500	1
church	1550	13
church	1600	33
church	1650	2
church	1700	0
church	1750	0
sea	1500	2
sea	1550	204
sea	1600	261
sea	1650	32
sea	1700	0
sea	1750	0
whiche	1500	44
whiche	1550	1014
whiche	1600	1
whiche	1650	0
whiche	1700	0
whiche	1750	0
christ	1500	0
christ	1550	0
christ	1600	2
christ	1650	0
christ	1700	0
christ	1750	0
world	1500	1
world	1550	71
world	1600	211
world	1650	164
world	1700	0
world	1750	0
reason	1500	6
reason	1550	268
reason	1600	376
reason	1650	379
reason	1700	8
reason	1750	0
lord	1500	2
lord	1550	8
lord	1600	30
lord	1650	1
lord	1700	0
lord	1750	0
