word	year	freq
duke	1500	495
duke	1550	1077
duke	1600	135
duke	1650	13
duke	1700	0
duke	1750	0
england	1500	3
england	1550	0
england	1600	0
england	1650	0
england	1700	0
england	1750	0
french	1500	89
french	1550	76
french	1600	13
french	1650	6
french	1700	0
french	1750	0
pope	1500	50
pope	1550	174
pope	1600	5
pope	1650	7
pope	1700	0
pope	1750	0
prince	1500	196
prince	1550	349
prince	1600	136
prince	1650	17
prince	1700	4
prince	1750	0
kings	1500	0
kings	1550	929
kings	1600	629
kings	1650	148
kings	1700	1
kings	1750	0
peace	1500	192
peace	1550	466
peace	1600	1546
peace	1650	1631
peace	1700	3
peace	1750	0
princes	1500	28
princes	1550	175
princes	1600	112
princes	1650	10
princes	1700	1
princes	1750	0
charles	1500	0
charles	1550	1
charles	1600	2
charles	1650	0
charles	1700	0
charles	1750	0
