word	year	freq
pope	1500	13
pope	1550	67
pope	1600	12
pope	1650	2
pope	1700	0
pope	1750	0
duke	1500	43
duke	1550	186
duke	1600	103
duke	1650	13
duke	1700	0
duke	1750	0
emperour	1500	15
emperour	1550	27
emperour	1600	22
emperour	1650	1
emperour	1700	0
emperour	1750	0
princes	1500	2
princes	1550	188
princes	1600	77
princes	1650	11
princes	1700	1
princes	1750	0
france	1500	1
france	1550	0
france	1600	0
france	1650	1
france	1700	0
france	1750	0
church	1500	5
church	1550	182
church	1600	69
church	1650	29
church	1700	0
church	1750	0
rome	1500	1
rome	1550	2
rome	1600	1
rome	1650	0
rome	1700	0
rome	1750	0
prince	1500	4
prince	1550	112
prince	1600	69
prince	1650	11
prince	1700	0
prince	1750	0
god	1500	107
god	1550	85
god	1600	7
god	1650	5
god	1700	0
god	1750	0
emperor	1500	0
emperor	1550	9
emperor	1600	13
emperor	1650	0
emperor	1700	0
emperor	1750	0
