word	year	freq
rome	1500	0
rome	1550	1
rome	1600	0
rome	1650	0
rome	1700	0
rome	1750	0
world	1500	0
world	1550	230
world	1600	492
world	1650	472
world	1700	6
world	1750	0
prince	1500	1
prince	1550	123
prince	1600	187
prince	1650	10
prince	1700	0
prince	1750	0
himselfe	1500	0
himselfe	1550	945
himselfe	1600	1583
himselfe	1650	151
himselfe	1700	0
himselfe	1750	0
god	1500	2
god	1550	68
god	1600	108
god	1650	22
god	1700	0
god	1750	0
city	1500	0
city	1550	334
city	1600	175
city	1650	73
city	1700	0
city	1750	0
long	1500	2
long	1550	817
long	1600	1247
long	1650	1512
long	1700	92
long	1750	0
death	1500	0
death	1550	484
death	1600	564
death	1650	529
death	1700	21
death	1750	0
brought	1500	12
brought	1550	984
brought	1600	1131
brought	1650	1442
brought	1700	152
brought	1750	0
onely	1500	9
onely	1550	899
onely	1600	1587
onely	1650	760
onely	1700	0
onely	1750	0
