word	year	freq
chap	1500	0
chap	1550	0
chap	1600	0
chap	1650	1
chap	1700	0
chap	1750	0
sea	1500	0
sea	1550	0
sea	1600	0
sea	1650	8
sea	1700	0
sea	1750	0
trade	1500	0
trade	1550	0
trade	1600	2
trade	1650	19
trade	1700	0
trade	1750	0
ice	1500	0
ice	1550	0
ice	1600	0
ice	1650	1
ice	1700	0
ice	1750	0
north	1500	0
north	1550	0
north	1600	0
north	1650	4
north	1700	0
north	1750	0
land	1500	0
land	1550	0
land	1600	11
land	1650	9
land	1700	0
land	1750	0
cold	1500	0
cold	1550	3
cold	1600	6
cold	1650	47
cold	1700	0
cold	1750	0
