word	year	freq
sea	1500	0
sea	1550	61
sea	1600	30
sea	1650	2
sea	1700	0
sea	1750	0
coast	1500	0
coast	1550	148
coast	1600	29
coast	1650	9
coast	1700	0
coast	1750	0
gold	1500	0
gold	1550	9
gold	1600	11
gold	1650	15
gold	1700	0
gold	1750	0
money	1500	0
money	1550	0
money	1600	5
money	1650	14
money	1700	0
money	1750	0
land	1500	0
land	1550	66
land	1600	44
land	1650	7
land	1700	0
land	1750	0
selfe	1500	0
selfe	1550	35
selfe	1600	213
selfe	1650	1
selfe	1700	0
selfe	1750	0
silver	1500	0
silver	1550	0
silver	1600	2
silver	1650	24
silver	1700	0
silver	1750	0
