word	year	freq
whiche	1500	0
whiche	1550	39
whiche	1600	0
whiche	1650	0
whiche	1700	0
whiche	1750	0
theyr	1500	0
theyr	1550	39
theyr	1600	0
theyr	1650	0
theyr	1700	0
theyr	1750	0
hispaniola	1500	0
hispaniola	1550	2
hispaniola	1600	0
hispaniola	1650	0
hispaniola	1700	0
hispaniola	1750	0
cauled	1500	0
cauled	1550	19
cauled	1600	0
cauled	1650	0
cauled	1700	0
cauled	1750	0
lyke	1500	0
lyke	1550	33
lyke	1600	0
lyke	1650	0
lyke	1700	0
lyke	1750	0
thynges	1500	0
thynges	1550	16
thynges	1600	0
thynges	1650	0
thynges	1700	0
thynges	1750	0
ryuer	1500	0
ryuer	1550	19
ryuer	1600	0
ryuer	1650	0
ryuer	1700	0
ryuer	1750	0
ballettes	1500	0
ballettes	1550	5
ballettes	1600	0
ballettes	1650	0
ballettes	1700	0
ballettes	1750	0
