word	year	freq
turks	1500	0
turks	1550	1
turks	1600	0
turks	1650	0
turks	1700	0
turks	1750	0
emperour	1500	6
emperour	1550	17
emperour	1600	4
emperour	1650	0
emperour	1700	0
emperour	1750	0
duke	1500	19
duke	1550	37
duke	1600	29
duke	1650	5
duke	1700	0
duke	1750	0
emperor	1500	0
emperor	1550	5
emperor	1600	3
emperor	1650	0
emperor	1700	0
emperor	1750	0
peace	1500	7
peace	1550	137
peace	1600	264
peace	1650	385
peace	1700	0
peace	1750	0
pope	1500	17
pope	1550	24
pope	1600	17
pope	1650	1
pope	1700	0
pope	1750	0
army	1500	3
army	1550	65
army	1600	70
army	1650	40
army	1700	0
army	1750	0
princes	1500	6
princes	1550	45
princes	1600	19
princes	1650	7
princes	1700	0
princes	1750	0
prince	1500	2
prince	1550	38
prince	1600	28
prince	1650	4
prince	1700	0
prince	1750	0
war	1500	1
war	1550	31
war	1600	69
war	1650	221
war	1700	0
war	1750	0
