word	year	freq
sea	1500	4
sea	1550	987
sea	1600	567
sea	1650	105
sea	1700	0
sea	1750	0
god	1500	3
god	1550	81
god	1600	52
god	1650	14
god	1700	0
god	1750	0
water	1500	1
water	1550	941
water	1600	949
water	1650	547
water	1700	3
water	1750	0
long	1500	4
long	1550	1153
long	1600	1585
long	1650	1989
long	1700	60
long	1750	0
brought	1500	16
brought	1550	1668
brought	1600	1816
brought	1650	2051
brought	1700	88
brought	1750	0
east	1500	4
east	1550	78
east	1600	39
east	1650	13
east	1700	0
east	1750	0
bee	1500	31
bee	1550	1757
bee	1600	3010
bee	1650	225
bee	1700	0
bee	1750	0
doe	1500	5
doe	1550	1655
doe	1600	2913
doe	1650	226
doe	1700	0
doe	1750	0
world	1500	2
world	1550	207
world	1600	588
world	1650	438
world	1700	2
world	1750	0
land	1500	2
land	1550	861
land	1600	578
land	1650	244
land	1700	0
land	1750	0
