word	year	freq
christ	1500	1
christ	1550	0
christ	1600	0
christ	1650	0
christ	1700	0
christ	1750	0
god	1500	47
god	1550	2
god	1600	0
god	1650	0
god	1700	0
god	1750	0
alexander	1500	0
alexander	1550	0
alexander	1600	0
alexander	1650	0
alexander	1700	0
alexander	1750	0
father	1500	2
father	1550	1
father	1600	0
father	1650	0
father	1700	0
father	1750	0
son	1500	2
son	1550	0
son	1600	0
son	1650	0
son	1700	0
son	1750	0
life	1500	0
life	1550	3
life	1600	0
life	1650	4
life	1700	0
life	1750	0
prynce	1500	9
prynce	1550	0
prynce	1600	0
prynce	1650	0
prynce	1700	0
prynce	1750	0
participation	1500	0
participation	1550	0
participation	1600	0
participation	1650	3
participation	1700	0
participation	1750	0
