word	year	freq
parliament	1500	2
parliament	1550	1
parliament	1600	14
parliament	1650	5
parliament	1700	0
parliament	1750	0
lord	1500	22
lord	1550	591
lord	1600	7
lord	1650	0
lord	1700	0
lord	1750	0
sir	1500	0
sir	1550	219
sir	1600	44
sir	1650	10
sir	1700	0
sir	1750	0
scotland	1500	39
scotland	1550	0
scotland	1600	0
scotland	1650	0
scotland	1700	0
scotland	1750	0
english	1500	0
english	1550	0
english	1600	2
english	1650	0
english	1700	0
english	1750	0
kingdom	1500	0
kingdom	1550	2
kingdom	1600	21
kingdom	1650	17
kingdom	1700	0
kingdom	1750	0
earl	1500	0
earl	1550	1
earl	1600	1
earl	1650	0
earl	1700	0
earl	1750	0
