word	year	freq
god	1500	507
god	1550	202
god	1600	149
god	1650	43
god	1700	0
god	1750	0
lord	1500	69
lord	1550	130
lord	1600	156
lord	1650	11
lord	1700	0
lord	1750	0
thy	1500	3121
thy	1550	1543
thy	1600	10607
thy	1650	9310
thy	1700	106
thy	1750	0
thou	1500	3498
thou	1550	1643
thou	1600	9950
thou	1650	8234
thou	1700	68
thou	1750	0
christ	1500	16
christ	1550	11
christ	1600	6
christ	1650	3
christ	1700	0
christ	1750	0
moses	1500	2
moses	1550	3
moses	1600	0
moses	1650	0
moses	1700	0
moses	1750	0
gods	1500	39
gods	1550	348
gods	1600	275
gods	1650	128
gods	1700	0
gods	1750	0
covenant	1500	0
covenant	1550	0
covenant	1600	828
covenant	1650	556
covenant	1700	3
covenant	1750	0
thee	1500	17
thee	1550	594
thee	1600	3477
thee	1650	3271
thee	1700	28
thee	1750	0
law	1500	37
law	1550	191
law	1600	1487
law	1650	598
law	1700	3
law	1750	0
