word	year	freq
pope	1500	133
pope	1550	79
pope	1600	41
pope	1650	6
pope	1700	0
pope	1750	0
rome	1500	8
rome	1550	4
rome	1600	2
rome	1650	1
rome	1700	0
rome	1750	0
duke	1500	88
duke	1550	189
duke	1600	44
duke	1650	5
duke	1700	0
duke	1750	0
france	1500	1
france	1550	1
france	1600	0
france	1650	0
france	1700	0
france	1750	0
emperour	1500	137
emperour	1550	79
emperour	1600	1
emperour	1650	0
emperour	1700	0
emperour	1750	0
church	1500	24
church	1550	130
church	1600	98
church	1650	41
church	1700	0
church	1750	0
city	1500	4
city	1550	275
city	1600	195
city	1650	105
city	1700	1
city	1750	0
french	1500	12
french	1550	645
french	1600	21
french	1650	0
french	1700	0
french	1750	0
army	1500	130
army	1550	607
army	1600	265
army	1650	169
army	1700	0
army	1750	0
princes	1500	35
princes	1550	179
princes	1600	60
princes	1650	14
princes	1700	0
princes	1750	0
