word	year	freq
religion	1500	0
religion	1550	0
religion	1600	0
religion	1650	1
religion	1700	0
religion	1750	0
company	1500	0
company	1550	0
company	1600	0
company	1650	8
company	1700	0
company	1750	0
trade	1500	0
trade	1550	0
trade	1600	0
trade	1650	20
trade	1700	0
trade	1750	0
city	1500	0
city	1550	0
city	1600	0
city	1650	1
city	1700	0
city	1750	0
east	1500	0
east	1550	0
east	1600	1
east	1650	4
east	1700	0
east	1750	0
world	1500	0
world	1550	0
world	1600	0
world	1650	24
world	1700	0
world	1750	0
