word	year	freq
god	1500	3
god	1550	0
god	1600	2
god	1650	1
god	1700	0
god	1750	0
christ	1500	0
christ	1550	0
christ	1600	0
christ	1650	1
christ	1700	0
christ	1750	0
gent	1500	0
gent	1550	0
gent	1600	0
gent	1650	1
gent	1700	0
gent	1750	0
lord	1500	0
lord	1550	0
lord	1600	0
lord	1650	1
lord	1700	0
lord	1750	0
verse	1500	0
verse	1550	0
verse	1600	35
verse	1650	42
verse	1700	0
verse	1750	0
thou	1500	0
thou	1550	0
thou	1600	188
thou	1650	696
thou	1700	2
thou	1750	0
land	1500	0
land	1550	0
land	1600	170
land	1650	208
land	1700	1
land	1750	0
thy	1500	0
thy	1550	0
thy	1600	209
thy	1650	631
thy	1700	0
thy	1750	0
