word	year	freq
god	1500	0
god	1550	1
god	1600	0
god	1650	1
god	1700	0
god	1750	0
thy	1500	0
thy	1550	75
thy	1600	330
thy	1650	425
thy	1700	55
thy	1750	0
lord	1500	0
lord	1550	0
lord	1600	0
lord	1650	1
lord	1700	0
lord	1750	0
thou	1500	0
thou	1550	71
thou	1600	188
thou	1650	277
thou	1700	7
thou	1750	0
church	1500	0
church	1550	25
church	1600	3
church	1650	1
church	1700	0
church	1750	0
cedars	1500	0
cedars	1550	1
cedars	1600	10
cedars	1650	17
cedars	1700	0
cedars	1750	0
earth	1500	0
earth	1550	25
earth	1600	55
earth	1650	50
earth	1700	0
earth	1750	0
thee	1500	0
thee	1550	27
thee	1600	83
thee	1650	104
thee	1700	9
thee	1750	0
