word	year	freq
alexander	1500	1
alexander	1550	1
alexander	1600	0
alexander	1650	0
alexander	1700	0
alexander	1750	0
god	1500	37
god	1550	92
god	1600	36
god	1650	9
god	1700	0
god	1750	0
rome	1500	1
rome	1550	0
rome	1600	0
rome	1650	0
rome	1700	0
rome	1750	0
death	1500	10
death	1550	447
death	1600	466
death	1650	469
death	1700	18
death	1750	0
himselfe	1500	9
himselfe	1550	501
himselfe	1600	1394
himselfe	1650	91
himselfe	1700	0
himselfe	1750	0
city	1500	0
city	1550	246
city	1600	132
city	1650	54
city	1700	0
city	1750	0
philip	1500	0
philip	1550	0
philip	1600	1
philip	1650	0
philip	1700	0
philip	1750	0
onely	1500	49
onely	1550	750
onely	1600	1051
onely	1650	508
onely	1700	0
onely	1750	0
church	1500	0
church	1550	49
church	1600	31
church	1650	7
church	1700	0
church	1750	0
