word	year	freq
island	1500	0
island	1550	0
island	1600	1
island	1650	0
island	1700	0
island	1750	0
sea	1500	0
sea	1550	26
sea	1600	14
sea	1650	3
sea	1700	0
sea	1750	0
cape	1500	0
cape	1550	4
cape	1600	9
cape	1650	0
cape	1700	0
cape	1750	0
ships	1500	0
ships	1550	2
ships	1600	18
ships	1650	2
ships	1700	0
ships	1750	0
ship	1500	0
ship	1550	1
ship	1600	23
ship	1650	4
ship	1700	0
ship	1750	0
east	1500	0
east	1550	1
east	1600	1
east	1650	1
east	1700	0
east	1750	0
coast	1500	0
coast	1550	13
coast	1600	16
coast	1650	5
coast	1700	0
coast	1750	0
