word	year	freq
god	1500	155
god	1550	218
god	1600	56
god	1650	21
god	1700	0
god	1750	0
est	1500	897
est	1550	973
est	1600	10428
est	1650	8302
est	1700	41
est	1750	0
quod	1500	373
quod	1550	555
quod	1600	8816
quod	1650	7420
quod	1700	33
quod	1750	0
christ	1500	10
christ	1550	2
christ	1600	1
christ	1650	3
christ	1700	0
christ	1750	0
church	1500	3
church	1550	130
church	1600	79
church	1650	18
church	1700	0
church	1750	0
sed	1500	445
sed	1550	499
sed	1600	5570
sed	1650	4803
sed	1700	28
sed	1750	0
qui	1500	834
qui	1550	763
qui	1600	5217
qui	1650	6662
qui	1700	59
qui	1750	0
sin	1500	5
sin	1550	46
sin	1600	302
sin	1650	2134
sin	1700	1
sin	1750	0
world	1500	8
world	1550	190
world	1600	960
world	1650	1241
world	1700	2
world	1750	0
thy	1500	115
thy	1550	698
thy	1600	2632
thy	1650	3864
thy	1700	5
thy	1750	0
