word	year	freq
sea	1500	1
sea	1550	57
sea	1600	100
sea	1650	17
sea	1700	0
sea	1750	0
est	1500	0
est	1550	5
est	1600	157
est	1650	111
est	1700	0
est	1750	0
rome	1500	0
rome	1550	0
rome	1600	0
rome	1650	0
rome	1700	0
rome	1750	0
prince	1500	0
prince	1550	6
prince	1600	17
prince	1650	0
prince	1700	0
prince	1750	0
himselfe	1500	0
himselfe	1550	125
himselfe	1600	200
himselfe	1650	4
himselfe	1700	0
himselfe	1750	0
church	1500	1
church	1550	2
church	1600	13
church	1650	0
church	1700	0
church	1750	0
thou	1500	0
thou	1550	160
thou	1600	49
thou	1650	150
thou	1700	0
thou	1750	0
