word	year	freq
spaniards	1500	0
spaniards	1550	1
spaniards	1600	0
spaniards	1650	2
spaniards	1700	0
spaniards	1750	0
sea	1500	0
sea	1550	105
sea	1600	95
sea	1650	20
sea	1700	0
sea	1750	0
leagues	1500	0
leagues	1550	150
leagues	1600	249
leagues	1650	63
leagues	1700	0
leagues	1750	0
god	1500	0
god	1550	19
god	1600	56
god	1650	6
god	1700	0
god	1750	0
land	1500	0
land	1550	89
land	1600	147
land	1650	22
land	1700	0
land	1750	0
city	1500	0
city	1550	60
city	1600	12
city	1650	2
city	1700	0
city	1750	0
