word	year	freq
prince	1500	0
prince	1550	0
prince	1600	352
prince	1650	4
prince	1700	0
prince	1750	0
duke	1500	0
duke	1550	0
duke	1600	439
duke	1650	1
duke	1700	0
duke	1750	0
states	1500	0
states	1550	0
states	1600	114
states	1650	4
states	1700	0
states	1750	0
french	1500	0
french	1550	0
french	1600	1
french	1650	1
french	1700	0
french	1750	0
peace	1500	0
peace	1550	2
peace	1600	333
peace	1650	131
peace	1700	0
peace	1750	0
bee	1500	0
bee	1550	7
bee	1600	1176
bee	1650	183
bee	1700	0
bee	1750	0
religion	1500	0
religion	1550	0
religion	1600	91
religion	1650	1
religion	1700	0
religion	1750	0
estates	1500	0
estates	1550	1
estates	1600	106
estates	1650	4
estates	1700	0
estates	1750	0
